id,label
0,2
1,8
2,9
3,9
4,6
5,2
6,7
7,2
8,3
9,3
10,8
11,4
12,7
13,0
14,1
15,7
16,2
17,4
18,2
19,8
20,8
21,2
22,1
23,2
24,2
25,6
26,2
27,8
28,6
29,1
30,2
31,3
32,0
33,0
34,1
35,5
36,0
37,1
38,5
39,0
40,3
41,8
42,6
43,6
44,8
45,8
46,2
47,4
48,4
49,6
50,6
51,3
52,9
53,5
54,7
55,7
56,2
57,3
58,7
59,3
60,0
61,4
62,7
63,0
64,2
65,4
66,7
67,6
68,0
69,9
70,3
71,7
72,2
73,0
74,9
75,7
76,8
77,7
78,2
79,5
80,7
81,4
82,0
83,5
84,2
85,0
86,7
87,7
88,4
89,1
90,1
91,4
92,0
93,1
94,7
95,8
96,1
97,0
98,2
99,6
100,7
101,1
102,1
103,6
104,5
105,1
106,0
107,4
108,1
109,1
110,3
111,8
112,3
113,4
114,6
115,7
116,3
117,3
118,0
119,6
120,8
121,3
122,0
123,8
124,7
125,8
126,1
127,3
128,0
129,8
130,5
131,5
132,8
133,9
134,2
135,3
136,8
137,3
138,2
139,1
140,2
141,8
142,7
143,4
144,4
145,8
146,5
147,0
148,1
149,6
150,4
151,9
152,7
153,5
154,4
155,3
156,4
157,0
158,1
159,9
160,8
161,0
162,8
163,1
164,6
165,3
166,6
167,4
168,6
169,1
170,4
171,9
172,3
173,4
174,2
175,2
176,5
177,2
178,0
179,1
180,9
181,7
182,4
183,6
184,4
185,3
186,0
187,1
188,1
189,2
190,6
191,6
192,6
193,2
194,1
195,1
196,5
197,1
198,2
199,3
200,7
201,2
202,0
203,5
204,1
205,2
206,3
207,7
208,9
209,5
210,0
211,7
212,2
213,2
214,1
215,5
216,6
217,7
218,3
219,5
220,2
221,8
222,0
223,4
224,2
225,4
226,3
227,9
228,1
229,1
230,2
231,6
232,0
233,5
234,2
235,1
236,0
237,7
238,6
239,5
240,2
241,0
242,2
243,2
244,6
245,8
246,7
247,3
248,8
249,4
250,6
251,3
252,0
253,4
254,4
255,0
256,0
257,1
258,3
259,0
260,8
261,1
262,9
263,9
264,2
265,2
266,1
267,1
268,5
269,3
270,8
271,1
272,3
273,0
274,2
275,2
276,6
277,5
278,4
279,5
280,5
281,4
282,9
283,6
284,6
285,0
286,7
287,7
288,4
289,6
290,0
291,6
292,8
293,2
294,3
295,8
296,6
297,0
298,1
299,9
300,1
301,6
302,2
303,4
304,4
305,9
306,3
307,4
308,5
309,4
310,7
311,6
312,3
313,5
314,6
315,3
316,6
317,0
318,5
319,2
320,0
321,1
322,6
323,4
324,5
325,5
326,4
327,5
328,2
329,5
330,7
331,2
332,2
333,6
334,9
335,9
336,7
337,4
338,8
339,4
340,4
341,5
342,0
343,3
344,9
345,2
346,3
347,7
348,5
349,0
350,1
351,5
352,6
353,8
354,1
355,8
356,5
357,5
358,1
359,7
360,5
361,2
362,8
363,8
364,7
365,1
366,2
367,1
368,0
369,6
370,2
371,0
372,4
373,1
374,1
375,0
376,4
377,6
378,6
379,3
380,2
381,7
382,1
383,6
384,2
385,1
386,7
387,1
388,2
389,8
390,9
391,0
392,5
393,2
394,4
395,8
396,0
397,0
398,5
399,1
400,5
401,4
402,6
403,3
404,2
405,7
406,9
407,5
408,7
409,5
410,0
411,3
412,0
413,9
414,4
415,0
416,6
417,6
418,9
419,1
420,7
421,0
422,3
423,1
424,9
425,9
426,1
427,7
428,7
429,9
430,8
431,9
432,7
433,3
434,7
435,1
436,3
437,7
438,0
439,8
440,9
441,2
442,4
443,0
444,7
445,2
446,8
447,5
448,0
449,3
450,4
451,4
452,2
453,9
454,3
455,1
456,3
457,0
458,3
459,1
460,0
461,0
462,8
463,0
464,7
465,1
466,7
467,7
468,7
469,6
470,0
471,3
472,2
473,2
474,9
475,7
476,1
477,2
478,4
479,0
480,0
481,5
482,8
483,9
484,4
485,0
486,0
487,7
488,6
489,5
490,8
491,8
492,7
493,6
494,1
495,2
496,1
497,0
498,0
499,9
500,8
501,4
502,4
503,3
504,8
505,8
506,5
507,9
508,2
509,5
510,5
511,0
512,4
513,5
514,2
515,7
516,8
517,6
518,7
519,1
520,1
521,4
522,2
523,2
524,2
525,1
526,0
527,2
528,7
529,2
530,7
531,7
532,6
533,2
534,7
535,9
536,5
537,1
538,9
539,1
540,0
541,0
542,6
543,1
544,1
545,8
546,8
547,9
548,9
549,4
550,1
551,3
552,8
553,3
554,4
555,9
556,5
557,9
558,4
559,6
560,1
561,7
562,4
563,2
564,3
565,5
566,0
567,4
568,1
569,8
570,0
571,6
572,0
573,2
574,3
575,8
576,3
577,3
578,3
579,4
580,4
581,4
582,3
583,7
584,9
585,4
586,0
587,0
588,1
589,7
590,4
591,7
592,2
593,0
594,8
595,0
596,6
597,6
598,4
599,5
600,9
601,5
602,4
603,8
604,1
605,5
606,3
607,1
608,2
609,0
610,8
611,8
612,6
613,1
614,2
615,3
616,3
617,9
618,5
619,4
620,2
621,9
622,4
623,7
624,9
625,6
626,2
627,6
628,5
629,3
630,4
631,8
632,9
633,1
634,5
635,2
636,8
637,1
638,8
639,6
640,6
641,6
642,8
643,5
644,3
645,3
646,3
647,6
648,3
649,7
650,4
651,0
652,3
653,1
654,5
655,1
656,4
657,4
658,0
659,5
660,5
661,6
662,9
663,7
664,0
665,3
666,0
667,9
668,2
669,6
670,3
671,0
672,8
673,5
674,9
675,1
676,7
677,2
678,3
679,5
680,4
681,7
682,6
683,8
684,4
685,8
686,5
687,1
688,3
689,4
690,0
691,7
692,1
693,4
694,5
695,2
696,6
697,0
698,0
699,6
700,2
701,6
702,1
703,4
704,5
705,0
706,5
707,5
708,1
709,7
710,6
711,1
712,8
713,0
714,8
715,0
716,4
717,0
718,2
719,0
720,9
721,4
722,6
723,2
724,0
725,0
726,5
727,8
728,0
729,0
730,3
731,4
732,6
733,1
734,8
735,3
736,3
737,8
738,7
739,6
740,3
741,6
742,6
743,5
744,3
745,8
746,2
747,9
748,2
749,0
750,9
751,6
752,6
753,9
754,2
755,3
756,9
757,3
758,6
759,9
760,7
761,6
762,2
763,3
764,8
765,1
766,5
767,9
768,0
769,7
770,7
771,8
772,6
773,0
774,2
775,9
776,2
777,6
778,4
779,2
780,2
781,0
782,3
783,7
784,4
785,3
786,2
787,7
788,7
789,8
790,9
791,5
792,7
793,3
794,9
795,3
796,9
797,9
798,8
799,8
800,8
801,4
802,5
803,1
804,3
805,2
806,6
807,6
808,6
809,1
810,2
811,1
812,4
813,6
814,0
815,7
816,3
817,8
818,6
819,9
820,1
821,8
822,0
823,8
824,0
825,5
826,0
827,2
828,2
829,7
830,6
831,2
832,0
833,5
834,6
835,7
836,7
837,0
838,3
839,8
840,0
841,0
842,7
843,9
844,9
845,8
846,6
847,4
848,3
849,0
850,6
851,1
852,1
853,4
854,2
855,6
856,5
857,1
858,8
859,7
860,0
861,2
862,1
863,4
864,8
865,7
866,1
867,7
868,6
869,7
870,8
871,5
872,6
873,0
874,5
875,2
876,2
877,7
878,9
879,4
880,6
881,1
882,8
883,1
884,7
885,3
886,2
887,0
888,4
889,3
890,9
891,2
892,6
893,9
894,5
895,8
896,8
897,9
898,4
899,3
900,7
901,4
902,9
903,7
904,9
905,4
906,5
907,8
908,0
909,2
910,4
911,6
912,4
913,3
914,0
915,1
916,3
917,1
918,7
919,3
920,7
921,3
922,0
923,4
924,9
925,8
926,2
927,1
928,4
929,1
930,0
931,0
932,7
933,1
934,2
935,9
936,1
937,0
938,4
939,2
940,0
941,4
942,8
943,3
944,1
945,0
946,4
947,7
948,4
949,1
950,6
951,9
952,8
953,3
954,5
955,2
956,3
957,4
